antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Touring Tire Tube'}),frozenset({'Touring Tire'}),0.04988383217165505,0.03280032800328003,0.02870028700287003,0.5753424657534247,17.540753424657538,1.0,0.02706408094557917,2.2775992276051795,0.9924995890185765,0.5316455696202532,0.5609411928667244,0.7251712328767124
frozenset({'Touring Tire'}),frozenset({'Touring Tire Tube'}),0.03280032800328003,0.04988383217165505,0.02870028700287003,0.875,17.540753424657535,1.0,0.02706408094557917,7.60092934262676,0.9749692161731162,0.5316455696202532,0.8684371403912543,0.7251712328767124
frozenset({'HL Road Tire'}),frozenset({'Road Tire Tube'}),0.02911029110291103,0.08391417247505809,0.02050020500205002,0.704225352112676,8.392209937147314,1.0,0.018057439013641194,3.097242559727184,0.9072522522522523,0.22156573116691286,0.6771321649124945,0.4742625131898885
frozenset({'ML Road Tire'}),frozenset({'Road Tire Tube'}),0.03293699603662703,0.08391417247505809,0.022413557468908024,0.6804979253112035,8.109451660426833,1.0,0.0196496767026802,2.8672296679676768,0.9065460022887397,0.2373371924746744,0.6512312874089327,0.47379945125495027
frozenset({'Mountain Tire Tube'}),frozenset({'HL Mountain Tire'}),0.1079677463441301,0.04961049610496105,0.033210332103321034,0.3075949367088608,6.200198765561252,1.0,0.027853998643854145,1.3725917880751022,0.9402292850022792,0.26703296703296703,0.27145127292187726,0.4885082121560833
frozenset({'HL Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.04961049610496105,0.1079677463441301,0.033210332103321034,0.6694214876033058,6.200198765561251,1.0,0.027853998643854145,2.6983975673090064,0.8824959078530165,0.26703296703296703,0.6294096866544183,0.4885082121560833
frozenset({'ML Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.04154708213748804,0.1079677463441301,0.02733360666940003,0.6578947368421053,6.0934377081945374,1.0,0.02284786184384098,2.607478895301774,0.8721231997718523,0.2237136465324385,0.616487787570658,0.4555296469020653
frozenset({'Road Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.06573732403990706,0.15785157851578516,0.05890392237255706,0.896049896049896,5.676534276534277,1.0,0.048527182005454056,8.101467814678147,0.8818035811501549,0.35767634854771785,0.8765655776366584,0.6346050346050346
frozenset({'Water Bottle - 30 oz.'}),frozenset({'Road Bottle Cage'}),0.15785157851578516,0.06573732403990706,0.05890392237255706,0.37316017316017314,5.676534276534277,1.0,0.048527182005454056,1.4904328601297063,0.9782553198218856,0.35767634854771785,0.32905397703525263,0.6346050346050346
frozenset({'Mountain Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.07680743474101408,0.15785157851578516,0.06273062730627306,0.8167259786476868,5.1740121088875535,1.0,0.05060645249065583,4.595023425962415,0.8738441145024504,0.36486486486486486,0.7823732531264402,0.6070642880251421
frozenset({'Water Bottle - 30 oz.'}),frozenset({'Mountain Bottle Cage'}),0.15785157851578516,0.07680743474101408,0.06273062730627306,0.39740259740259737,5.1740121088875535,1.0,0.05060645249065583,1.5320221449340932,0.9579384929347698,0.36486486486486486,0.3472679208282464,0.6070642880251421
